id,nome,email,banco,cidade,estado,username,senha,tipo,cpf,rg,data_nascimento,endereco,telefone,renda,profissao,estado_civil,situacao_prof,data_criacao,ativo,motivo_inativacao,data_inativacao,conta_bloqueada,saldo_pendente
19,Usuário 19,user19@demo.com,Inter,Fortaleza,CE,user19,123456,normal,00000000019,000000019,1997-10-02,Rua 19,314448547,5671.42,Designer,divorciado,CLT,2025-05-14 23:25:03.234076,1,,,0,
20,Usuário 20,user20@demo.com,Santander,Brasília,DF,user20,123456,normal,00000000020,000000020,1987-06-07,Rua 20,136249528,9580.97,Advogado,divorciado,Desempregado,2025-05-14 23:25:03.234086,1,,,0,
21,Usuário 21,user21@demo.com,PagBank,Porto Alegre,RS,user21,123456,normal,00000000021,000000021,1999-06-25,Rua 21,527678529,299.4,Professor,casado,Desempregado,2025-05-14 23:25:03.234097,1,,,0,
22,Usuário 22,user22@demo.com,Caixa,Belo Horizonte,MG,user22,123456,normal,00000000022,000000022,2001-11-17,Rua 22,177996967,2151.84,Designer,casado,PJ,2025-05-14 23:25:03.234108,1,,,0,
23,Usuário 23,user23@demo.com,Bradesco,Salvador,BA,user23,123456,normal,00000000023,000000023,2007-03-02,Rua 23,442082485,6882.92,Designer,solteiro,Desempregado,2025-05-14 23:25:03.234119,1,,,0,
24,Usuário 24,user24@demo.com,Caixa,Fortaleza,CE,user24,123456,normal,00000000024,000000024,1987-03-23,Rua 24,349804684,5616.41,Programador,casado,PJ,2025-05-14 23:25:03.234130,1,,,0,
25,Usuário 25,user25@demo.com,Nubank,Campinas,SP,user25,123456,normal,00000000025,000000025,2005-01-26,Rua 25,702324820,2780.48,Estudante,divorciado,CLT,2025-05-14 23:25:03.234140,1,,,0,
26,Usuário 26,user26@demo.com,Inter,Fortaleza,CE,user26,123456,normal,00000000026,000000026,1992-01-30,Rua 26,911964858,4352.06,Designer,solteiro,PJ,2025-05-14 23:25:03.234151,1,,,0,
27,Usuário 27,user27@demo.com,C6 Bank,São Paulo,SP,user27,123456,normal,00000000027,000000027,1996-03-13,Rua 27,150242357,9902.6,Programador,solteiro,CLT,2025-05-14 23:25:03.234162,1,,,0,
28,Usuário 28,user28@demo.com,Santander,Brasília,DF,user28,123456,normal,00000000028,000000028,1993-11-22,Rua 28,450979097,5911.71,Médico,divorciado,CLT,2025-05-14 23:25:03.234172,1,,,0,
29,Usuário 29,user29@demo.com,Itaú,Porto Alegre,RS,user29,123456,normal,00000000029,000000029,1992-12-11,Rua 29,941068017,8561.03,Analista,casado,Autônomo,2025-05-14 23:25:03.234182,1,,,0,
30,Usuário 30,user30@demo.com,Inter,Belo Horizonte,MG,user30,123456,normal,00000000030,000000030,2006-07-20,Rua 30,672805833,9180.34,Analista,casado,CLT,2025-05-14 23:25:03.234201,1,,,0,
31,Usuário 31,user31@demo.com,C6 Bank,Rio de Janeiro,RJ,user31,123456,normal,00000000031,000000031,2005-03-31,Rua 31,991044883,8025.13,Advogado,casado,Autônomo,2025-05-14 23:25:03.234212,1,,,0,
32,Usuário 32,user32@demo.com,Inter,Salvador,BA,user32,123456,normal,00000000032,000000032,2005-08-04,Rua 32,697483848,7746.13,Vendedor,divorciado,CLT,2025-05-14 23:25:03.234222,1,,,0,
33,Usuário 33,user33@demo.com,Banco do Brasil,Recife,PE,user33,123456,normal,00000000033,000000033,1991-10-05,Rua 33,588103427,4933.37,Engenheiro,casado,CLT,2025-05-14 23:25:03.234234,1,,,0,
34,Usuário 34,user34@demo.com,Nubank,São Paulo,SP,user34,123456,normal,00000000034,000000034,2006-04-23,Rua 34,986327205,103.96,Engenheiro,casado,Desempregado,2025-05-14 23:25:03.234245,1,,,0,
35,Usuário 35,user35@demo.com,Santander,Curitiba,PR,user35,123456,normal,00000000035,000000035,2005-05-28,Rua 35,305256154,7241.08,Designer,divorciado,CLT,2025-05-14 23:25:03.234256,1,,,0,
36,Usuário 36,user36@demo.com,Banco do Brasil,São Paulo,SP,user36,123456,normal,00000000036,000000036,1987-07-27,Rua 36,942827240,430.76,Analista,casado,CLT,2025-05-14 23:25:03.234267,1,,,0,
37,Usuário 37,user37@demo.com,Caixa,Porto Alegre,RS,user37,123456,normal,00000000037,000000037,1991-12-14,Rua 37,757935977,7916.28,Programador,casado,PJ,2025-05-14 23:25:03.234278,1,,,0,
38,Usuário 38,user38@demo.com,C6 Bank,Belo Horizonte,MG,user38,123456,normal,00000000038,000000038,2004-09-09,Rua 38,235601470,3193.33,Professor,divorciado,Desempregado,2025-05-14 23:25:03.234288,1,,,0,
39,Usuário 39,user39@demo.com,Bradesco,Brasília,DF,user39,123456,normal,00000000039,000000039,1995-09-05,Rua 39,666494300,2405.23,Vendedor,divorciado,Desempregado,2025-05-14 23:25:03.234299,1,,,0,
40,Usuário 40,user40@demo.com,Caixa,Porto Alegre,RS,user40,123456,normal,00000000040,000000040,1990-01-19,Rua 40,884759871,4827.06,Engenheiro,casado,Autônomo,2025-05-14 23:25:03.234309,1,,,0,
41,Usuário 41,user41@demo.com,Caixa,Rio de Janeiro,RJ,user41,123456,normal,00000000041,000000041,1994-11-08,Rua 41,997156491,8728.72,Médico,divorciado,CLT,2025-05-14 23:25:03.234319,1,,,0,
42,Usuário 42,user42@demo.com,C6 Bank,Rio de Janeiro,RJ,user42,123456,normal,00000000042,000000042,2006-01-11,Rua 42,328143806,131.28,Médico,casado,Desempregado,2025-05-14 23:25:03.234331,1,,,0,
43,Usuário 43,user43@demo.com,C6 Bank,Curitiba,PR,user43,123456,normal,00000000043,000000043,2005-01-13,Rua 43,465555552,2086.61,Estudante,divorciado,Autônomo,2025-05-14 23:25:03.234342,1,,,0,
44,Usuário 44,user44@demo.com,C6 Bank,Porto Alegre,RS,user44,123456,normal,00000000044,000000044,1992-09-06,Rua 44,265355085,8478.07,Engenheiro,solteiro,PJ,2025-05-14 23:25:03.234352,1,,,0,
45,Usuário 45,user45@demo.com,Inter,Salvador,BA,user45,123456,normal,00000000045,000000045,1985-07-06,Rua 45,585795047,8678.59,Gerente,solteiro,Desempregado,2025-05-14 23:25:03.234363,1,,,0,
46,Usuário 46,user46@demo.com,Bradesco,Curitiba,PR,user46,123456,normal,00000000046,000000046,2001-02-23,Rua 46,554293711,1641.96,Advogado,divorciado,CLT,2025-05-14 23:25:03.234373,1,,,0,
47,Usuário 47,user47@demo.com,C6 Bank,Belo Horizonte,MG,user47,123456,normal,00000000047,000000047,1987-09-24,Rua 47,215076545,7450.26,Médico,solteiro,Desempregado,2025-05-14 23:25:03.234384,1,,,0,
48,Usuário 48,user48@demo.com,Banco do Brasil,Belo Horizonte,MG,user48,123456,normal,00000000048,000000048,2006-09-27,Rua 48,611359256,6618.86,Vendedor,casado,Autônomo,2025-05-14 23:25:03.234394,1,,,0,
49,Usuário 49,user49@demo.com,PagBank,Rio de Janeiro,RJ,user49,123456,normal,00000000049,000000049,2005-06-30,Rua 49,480562915,4314.74,Professor,casado,Desempregado,2025-05-14 23:25:03.234404,1,,,0,
50,Usuário 50,user50@demo.com,Caixa,Campinas,SP,user50,123456,normal,00000000050,000000050,2006-03-10,Rua 50,573885859,2725.89,Engenheiro,solteiro,Desempregado,2025-05-14 23:25:03.234415,1,,,0,
51,Usuário 51,user51@demo.com,Nubank,Recife,PE,user51,123456,normal,00000000051,000000051,2000-10-14,Rua 51,303419997,4026.92,Estudante,casado,Desempregado,2025-05-14 23:25:03.234425,1,,,0,
52,Usuário 52,user52@demo.com,Inter,Campinas,SP,user52,123456,normal,00000000052,000000052,2004-12-06,Rua 52,831390546,498.71,Médico,solteiro,PJ,2025-05-14 23:25:03.234435,1,,,0,
53,Usuário 53,user53@demo.com,Itaú,Rio de Janeiro,RJ,user53,123456,normal,00000000053,000000053,1987-04-22,Rua 53,138319651,5752.31,Médico,solteiro,CLT,2025-05-14 23:25:03.234445,1,,,0,
54,Usuário 54,user54@demo.com,Nubank,Porto Alegre,RS,user54,123456,normal,00000000054,000000054,1987-08-02,Rua 54,765956951,6995.12,Programador,casado,Desempregado,2025-05-14 23:25:03.234457,1,,,0,
55,Usuário 55,user55@demo.com,Nubank,Rio de Janeiro,RJ,user55,123456,normal,00000000055,000000055,1990-12-02,Rua 55,984836978,8795.28,Advogado,casado,PJ,2025-05-14 23:25:03.234467,1,,,0,
56,Usuário 56,user56@demo.com,Nubank,Belo Horizonte,MG,user56,123456,normal,00000000056,000000056,1999-08-02,Rua 56,783865325,2879.93,Estudante,casado,CLT,2025-05-14 23:25:03.234477,1,,,0,
57,Usuário 57,user57@demo.com,Santander,Rio de Janeiro,RJ,user57,123456,normal,00000000057,000000057,1996-02-04,Rua 57,852125249,6221.18,Advogado,divorciado,PJ,2025-05-14 23:25:03.234487,1,,,0,
58,Usuário 58,user58@demo.com,Caixa,Belo Horizonte,MG,user58,123456,normal,00000000058,000000058,1992-02-05,Rua 58,174576347,1666.45,Designer,casado,PJ,2025-05-14 23:25:03.234497,1,,,0,
59,Usuário 59,user59@demo.com,C6 Bank,São Paulo,SP,user59,123456,normal,00000000059,000000059,1997-10-13,Rua 59,458687918,208.27,Advogado,solteiro,PJ,2025-05-14 23:25:03.234550,1,,,0,
60,Usuário 60,user60@demo.com,Caixa,São Paulo,SP,user60,123456,normal,00000000060,000000060,1985-08-20,Rua 60,608771260,5831.59,Vendedor,solteiro,Desempregado,2025-05-14 23:25:03.234566,1,,,0,
61,Usuário 61,user61@demo.com,Itaú,Rio de Janeiro,RJ,user61,123456,normal,00000000061,000000061,1989-01-05,Rua 61,118673248,5672.67,Advogado,solteiro,PJ,2025-05-14 23:25:03.234577,1,,,0,
62,Usuário 62,user62@demo.com,Bradesco,Belo Horizonte,MG,user62,123456,normal,00000000062,000000062,2005-02-19,Rua 62,427064197,8038.93,Designer,casado,Desempregado,2025-05-14 23:25:03.234587,1,,,0,
63,Usuário 63,user63@demo.com,PagBank,Salvador,BA,user63,123456,normal,00000000063,000000063,2001-08-10,Rua 63,812329472,4864.93,Designer,casado,CLT,2025-05-14 23:25:03.234597,1,,,0,
64,Usuário 64,user64@demo.com,Banco do Brasil,Salvador,BA,user64,123456,normal,00000000064,000000064,1991-06-15,Rua 64,458349379,8913.72,Estudante,casado,CLT,2025-05-14 23:25:03.234607,1,,,0,
65,Usuário 65,user65@demo.com,PagBank,Porto Alegre,RS,user65,123456,normal,00000000065,000000065,1991-01-18,Rua 65,786980352,207.27,Programador,solteiro,PJ,2025-05-14 23:25:03.234618,1,,,0,
66,Usuário 66,user66@demo.com,C6 Bank,Salvador,BA,user66,123456,normal,00000000066,000000066,2006-09-08,Rua 66,362387930,5775.84,Programador,casado,PJ,2025-05-14 23:25:03.234630,1,,,0,
67,Usuário 67,user67@demo.com,Nubank,Rio de Janeiro,RJ,user67,123456,normal,00000000067,000000067,1986-09-25,Rua 67,505636313,6387.34,Advogado,divorciado,Desempregado,2025-05-14 23:25:03.234642,1,,,0,
68,Usuário 68,user68@demo.com,Santander,Campinas,SP,user68,123456,normal,00000000068,000000068,2001-06-06,Rua 68,829141955,3488.45,Designer,casado,Desempregado,2025-05-14 23:25:03.234652,1,,,0,
69,Usuário 69,user69@demo.com,Banco do Brasil,Porto Alegre,RS,user69,123456,normal,00000000069,000000069,2003-02-08,Rua 69,144130760,5795.17,Designer,divorciado,CLT,2025-05-14 23:25:03.234662,1,,,0,
70,Usuário 70,user70@demo.com,C6 Bank,Recife,PE,user70,123456,normal,00000000070,000000070,1994-09-02,Rua 70,950967842,7923.41,Advogado,solteiro,CLT,2025-05-14 23:25:03.234672,1,,,0,
71,Usuário 71,user71@demo.com,Santander,Brasília,DF,user71,123456,normal,00000000071,000000071,1996-12-02,Rua 71,831135579,1502.28,Advogado,divorciado,PJ,2025-05-14 23:25:03.234682,1,,,0,
72,Usuário 72,user72@demo.com,C6 Bank,Porto Alegre,RS,user72,123456,normal,00000000072,000000072,2000-11-30,Rua 72,169381431,7997.85,Analista,casado,CLT,2025-05-14 23:25:03.234692,1,,,0,
73,Usuário 73,user73@demo.com,Banco do Brasil,Curitiba,PR,user73,123456,normal,00000000073,000000073,1988-11-12,Rua 73,736805806,1234.36,Vendedor,casado,CLT,2025-05-14 23:25:03.234702,1,,,0,
74,Usuário 74,user74@demo.com,Caixa,Recife,PE,user74,123456,normal,00000000074,000000074,1992-07-28,Rua 74,995618851,6.42,Advogado,solteiro,Autônomo,2025-05-14 23:25:03.234712,1,,,0,
75,Usuário 75,user75@demo.com,PagBank,Porto Alegre,RS,user75,123456,normal,00000000075,000000075,1992-06-16,Rua 75,925584388,5607.49,Engenheiro,divorciado,Autônomo,2025-05-14 23:25:03.234722,1,,,0,
76,Usuário 76,user76@demo.com,Nubank,Belo Horizonte,MG,user76,123456,normal,00000000076,000000076,1997-09-09,Rua 76,728380379,9182.6,Advogado,solteiro,CLT,2025-05-14 23:25:03.234732,1,,,0,
77,Usuário 77,user77@demo.com,Caixa,Brasília,DF,user77,123456,normal,00000000077,000000077,2001-10-20,Rua 77,971565999,6785.0,Programador,casado,Desempregado,2025-05-14 23:25:03.234742,1,,,0,
78,Usuário 78,user78@demo.com,Banco do Brasil,Rio de Janeiro,RJ,user78,123456,normal,00000000078,000000078,1986-09-28,Rua 78,424294358,5970.39,Professor,divorciado,Desempregado,2025-05-14 23:25:03.234755,1,,,0,
79,Usuário 79,user79@demo.com,Santander,Salvador,BA,user79,123456,normal,00000000079,000000079,1992-01-21,Rua 79,924269032,1995.07,Professor,casado,PJ,2025-05-14 23:25:03.234765,1,,,0,
80,Usuário 80,user80@demo.com,Banco do Brasil,Porto Alegre,RS,user80,123456,normal,00000000080,000000080,2005-06-17,Rua 80,419260106,5666.65,Vendedor,divorciado,PJ,2025-05-14 23:25:03.234775,1,,,0,
81,Usuário 81,user81@demo.com,Inter,Recife,PE,user81,123456,normal,00000000081,000000081,2005-03-24,Rua 81,248831220,5265.71,Designer,divorciado,Autônomo,2025-05-14 23:25:03.234785,1,,,0,
82,Usuário 82,user82@demo.com,Caixa,Brasília,DF,user82,123456,normal,00000000082,000000082,1997-10-15,Rua 82,600956992,4205.06,Programador,casado,CLT,2025-05-14 23:25:03.234795,1,,,0,
83,Usuário 83,user83@demo.com,Itaú,Campinas,SP,user83,123456,normal,00000000083,000000083,1985-11-27,Rua 83,923312698,4209.19,Professor,divorciado,Autônomo,2025-05-14 23:25:03.234805,1,,,0,
84,Usuário 84,user84@demo.com,PagBank,Curitiba,PR,user84,123456,normal,00000000084,000000084,1999-01-05,Rua 84,236660341,6208.9,Estudante,casado,CLT,2025-05-14 23:25:03.234815,1,,,0,
85,Usuário 85,user85@demo.com,Santander,Recife,PE,user85,123456,normal,00000000085,000000085,1998-05-06,Rua 85,819492101,59.53,Gerente,casado,CLT,2025-05-14 23:25:03.234825,1,,,0,
86,Usuário 86,user86@demo.com,Itaú,Rio de Janeiro,RJ,user86,123456,normal,00000000086,000000086,2001-04-27,Rua 86,991092205,9861.74,Engenheiro,casado,CLT,2025-05-14 23:25:03.234835,1,,,0,
87,Usuário 87,user87@demo.com,C6 Bank,Porto Alegre,RS,user87,123456,normal,00000000087,000000087,1991-11-22,Rua 87,455738821,8643.14,Engenheiro,divorciado,CLT,2025-05-14 23:25:03.234846,1,,,0,
88,Usuário 88,user88@demo.com,PagBank,Curitiba,PR,user88,123456,normal,00000000088,000000088,2004-02-24,Rua 88,703495788,7404.24,Vendedor,solteiro,PJ,2025-05-14 23:25:03.234856,1,,,0,
89,Usuário 89,user89@demo.com,Banco do Brasil,Belo Horizonte,MG,user89,123456,normal,00000000089,000000089,1993-04-16,Rua 89,433816481,7191.42,Analista,casado,PJ,2025-05-14 23:25:03.234866,1,,,0,
90,Usuário 90,user90@demo.com,Bradesco,Rio de Janeiro,RJ,user90,123456,normal,00000000090,000000090,2007-05-19,Rua 90,264306208,6037.91,Engenheiro,divorciado,CLT,2025-05-14 23:25:03.234877,1,,,0,
91,Usuário 91,user91@demo.com,Nubank,Curitiba,PR,user91,123456,normal,00000000091,000000091,2005-01-21,Rua 91,608677033,246.56,Gerente,casado,Desempregado,2025-05-14 23:25:03.234889,1,,,0,
92,Usuário 92,user92@demo.com,Bradesco,São Paulo,SP,user92,123456,normal,00000000092,000000092,2000-08-27,Rua 92,534390135,4837.2,Professor,solteiro,Autônomo,2025-05-14 23:25:03.234900,1,,,0,
93,Usuário 93,user93@demo.com,C6 Bank,Fortaleza,CE,user93,123456,normal,00000000093,000000093,1988-02-09,Rua 93,806693185,6171.59,Programador,solteiro,CLT,2025-05-14 23:25:03.234912,1,,,0,
94,Usuário 94,user94@demo.com,Santander,Belo Horizonte,MG,user94,123456,normal,00000000094,000000094,1989-01-08,Rua 94,899506538,6574.65,Professor,divorciado,PJ,2025-05-14 23:25:03.234950,1,,,0,
95,Usuário 95,user95@demo.com,C6 Bank,Brasília,DF,user95,123456,normal,00000000095,000000095,2000-11-16,Rua 95,410793531,6675.36,Estudante,casado,Autônomo,2025-05-14 23:25:03.234981,1,,,0,
96,Usuário 96,user96@demo.com,Inter,Porto Alegre,RS,user96,123456,normal,00000000096,000000096,1998-09-23,Rua 96,849098886,7998.55,Vendedor,casado,Desempregado,2025-05-14 23:25:03.234998,1,,,0,
97,Usuário 97,user97@demo.com,Itaú,Belo Horizonte,MG,user97,123456,normal,00000000097,000000097,2001-01-09,Rua 97,590788362,1201.26,Programador,solteiro,Autônomo,2025-05-14 23:25:03.235013,1,,,0,
98,Usuário 98,user98@demo.com,C6 Bank,São Paulo,SP,user98,123456,normal,00000000098,000000098,2006-06-04,Rua 98,480885074,9627.97,Vendedor,divorciado,Desempregado,2025-05-14 23:25:03.235029,1,,,0,
99,Usuário 99,user99@demo.com,Itaú,Porto Alegre,RS,user99,123456,normal,00000000099,000000099,2003-10-31,Rua 99,484128628,5006.38,Gerente,solteiro,Autônomo,2025-05-14 23:25:03.235063,1,,,0,
100,Usuário 100,user100@demo.com,Inter,Campinas,SP,user100,123456,normal,00000000100,000000100,1995-11-16,Rua 100,167394237,1744.97,Professor,casado,Autônomo,2025-05-14 23:25:03.235079,1,,,0,
101,Usuário 101,user101@demo.com,Santander,Brasília,DF,user101,123456,normal,00000000101,000000101,2001-02-19,Rua 101,942845386,7626.08,Advogado,casado,CLT,2025-05-14 23:25:03.235093,1,,,0,
102,Usuário 102,user102@demo.com,Inter,Brasília,DF,user102,123456,normal,00000000102,000000102,1985-10-16,Rua 102,606540191,6058.42,Professor,divorciado,Autônomo,2025-05-14 23:25:03.235109,1,,,0,
103,Usuário 103,user103@demo.com,Caixa,Belo Horizonte,MG,user103,123456,normal,00000000103,000000103,1994-03-05,Rua 103,723548418,3480.95,Estudante,casado,CLT,2025-05-14 23:25:03.235122,1,,,0,
104,Usuário 104,user104@demo.com,Itaú,São Paulo,SP,user104,123456,normal,00000000104,000000104,1988-04-09,Rua 104,886921228,1591.8,Engenheiro,divorciado,CLT,2025-05-14 23:25:03.235136,1,,,0,
105,Usuário 105,user105@demo.com,C6 Bank,Brasília,DF,user105,123456,normal,00000000105,000000105,2000-02-14,Rua 105,915946380,2315.35,Médico,solteiro,PJ,2025-05-14 23:25:03.235150,1,,,0,
106,Usuário 106,user106@demo.com,Inter,Recife,PE,user106,123456,normal,00000000106,000000106,1986-09-10,Rua 106,169116659,619.27,Advogado,solteiro,CLT,2025-05-14 23:25:03.235169,1,,,0,
107,Usuário 107,user107@demo.com,C6 Bank,Rio de Janeiro,RJ,user107,123456,normal,00000000107,000000107,1990-04-05,Rua 107,501925304,6065.33,Analista,solteiro,Autônomo,2025-05-14 23:25:03.235183,1,,,0,
108,Usuário 108,user108@demo.com,C6 Bank,Rio de Janeiro,RJ,user108,123456,normal,00000000108,000000108,1998-11-29,Rua 108,243040275,9888.71,Estudante,divorciado,PJ,2025-05-14 23:25:03.235197,1,,,0,
109,Usuário 109,user109@demo.com,Banco do Brasil,Curitiba,PR,user109,123456,normal,00000000109,000000109,1996-05-13,Rua 109,569777998,6788.49,Médico,solteiro,PJ,2025-05-14 23:25:03.235210,1,,,0,
110,Usuário 110,user110@demo.com,PagBank,Recife,PE,user110,123456,normal,00000000110,000000110,1989-03-30,Rua 110,948260570,1922.96,Estudante,solteiro,CLT,2025-05-14 23:25:03.235228,1,,,0,
111,Usuário 111,user111@demo.com,Itaú,Curitiba,PR,user111,123456,normal,00000000111,000000111,1989-03-19,Rua 111,250927932,8932.91,Designer,casado,CLT,2025-05-14 23:25:03.235241,1,,,0,
112,Usuário 112,user112@demo.com,Santander,Salvador,BA,user112,123456,normal,00000000112,000000112,1992-01-29,Rua 112,883806954,9577.44,Gerente,casado,PJ,2025-05-14 23:25:03.235255,1,,,0,
113,Usuário 113,user113@demo.com,C6 Bank,Curitiba,PR,user113,123456,normal,00000000113,000000113,1996-02-24,Rua 113,478070996,3564.85,Gerente,solteiro,CLT,2025-05-14 23:25:03.235269,1,,,0,
114,Usuário 114,user114@demo.com,Inter,Brasília,DF,user114,123456,normal,00000000114,000000114,1993-05-09,Rua 114,503853871,8739.77,Estudante,solteiro,PJ,2025-05-14 23:25:03.235316,1,,,0,
115,Usuário 115,user115@demo.com,Banco do Brasil,Campinas,SP,user115,123456,normal,00000000115,000000115,2005-02-12,Rua 115,226623684,4987.12,Analista,divorciado,Autônomo,2025-05-14 23:25:03.235329,1,,,0,
116,Usuário 116,user116@demo.com,Nubank,São Paulo,SP,user116,123456,normal,00000000116,000000116,1988-12-16,Rua 116,411273968,9222.73,Advogado,casado,Autônomo,2025-05-14 23:25:03.235343,1,,,0,
117,Usuário 117,user117@demo.com,Santander,Rio de Janeiro,RJ,user117,123456,normal,00000000117,000000117,1985-09-01,Rua 117,409311735,747.77,Estudante,solteiro,Autônomo,2025-05-14 23:25:03.235356,1,,,0,
118,Usuário 118,user118@demo.com,Itaú,Recife,PE,user118,123456,normal,00000000118,000000118,1995-02-19,Rua 118,848954148,8918.08,Estudante,casado,Autônomo,2025-05-14 23:25:03.235371,1,,,0,
119,Usuário 119,user119@demo.com,Itaú,São Paulo,SP,user119,123456,normal,00000000119,000000119,1999-10-19,Rua 119,552480926,2608.81,Designer,solteiro,PJ,2025-05-14 23:25:03.235385,1,,,0,
120,Usuário 120,user120@demo.com,PagBank,Curitiba,PR,user120,123456,normal,00000000120,000000120,1989-01-23,Rua 120,887989779,3296.09,Analista,solteiro,Desempregado,2025-05-14 23:25:03.235398,1,,,0,
121,Usuário 121,user121@demo.com,Itaú,Rio de Janeiro,RJ,user121,123456,normal,00000000121,000000121,1999-08-16,Rua 121,175981291,9499.08,Estudante,divorciado,CLT,2025-05-14 23:25:03.235412,1,,,0,
122,Usuário 122,user122@demo.com,C6 Bank,Campinas,SP,user122,123456,normal,00000000122,000000122,1986-02-24,Rua 122,239011533,2705.08,Analista,solteiro,CLT,2025-05-14 23:25:03.235425,1,,,0,
123,Usuário 123,user123@demo.com,PagBank,Brasília,DF,user123,123456,normal,00000000123,000000123,2002-04-30,Rua 123,798294005,3502.58,Vendedor,casado,PJ,2025-05-14 23:25:03.235438,1,,,0,
124,Usuário 124,user124@demo.com,Itaú,São Paulo,SP,user124,123456,normal,00000000124,000000124,2006-10-16,Rua 124,930660891,7818.23,Médico,divorciado,Desempregado,2025-05-14 23:25:03.235451,1,,,0,
125,Usuário 125,user125@demo.com,PagBank,São Paulo,SP,user125,123456,normal,00000000125,000000125,1996-07-26,Rua 125,155985344,3871.25,Programador,divorciado,PJ,2025-05-14 23:25:03.235464,1,,,0,
126,Usuário 126,user126@demo.com,Inter,Recife,PE,user126,123456,normal,00000000126,000000126,1995-01-21,Rua 126,247929877,1155.83,Engenheiro,divorciado,Autônomo,2025-05-14 23:25:03.235477,1,,,0,
